Distance (mm),Angle (degrees)
33.140264541733295,323.79424985637
32.794771913913316,323.351121872015
32.4512826186529,322.8985855244477
31.84990695396082,323.04870252273946
31.507820412195393,322.57931503950897
31.167894843875896,322.09965623868555
30.56539692628579,322.2403453351658
30.227072411569374,321.74194103666105
29.89108682546806,321.2322929911175
29.831272746757634,320.0727927519828
30.108660394341808,319.44617040026753
30.71411504111355,319.3583537275431
31.319639049912702,319.2739325024676
31.60146563735362,318.68393674010247
32.20748051382728,318.6145269208298
32.492955185727524,318.0464425547333
32.78156829798393,317.488307093465
33.38825214918152,317.4430654386477
33.68014192951272,316.9049941505307
33.97495087454096,316.3762148487888
34.27260365340481,315.85657667227986
34.26890504162832,314.8413540963753
33.967488427391814,314.3277850030721
33.98003832833951,313.3038870726608
33.686984393818754,312.77241013068857
33.39687976479103,312.2316525476457
32.79035554125587,312.1804053395059
32.50359322348221,311.619504402472
32.220001180536634,311.04867414275975
31.61422631433608,310.9728372058494
31.008508997941945,310.89403734308326
30.40285267105608,310.81209777031324
30.123966290253716,310.1939640274594
29.848651348013977,309.5643529083604
29.912283493410463,308.4063491374123
30.249938480037628,307.9010959176296
30.852620797316582,308.04046056939285
31.1919185007916,307.5544232005868
31.533412393484998,307.0788793944187
32.13497347247638,307.228086504356
32.47790530399762,306.7698003193878
32.82287150013946,306.32111904287797
33.1698085887521,305.8817971872119
33.51865537032761,305.4515949952947
33.86935283668238,305.0302784455629
34.22184409170746,304.6176192382475
33.97974772237262,304.021765574494
34.10060035274449,303.0200924639531
33.868526423475544,302.4110092288622
33.64033245225555,301.79359218075973
33.4160979262907,301.16781544621927
32.82678300228601,300.9144183098507
32.608262922784675,300.267113857048
32.02135436958968,299.9907902428232
31.435218401107623,299.7041551825878
30.849899053788473,299.4066357065801
30.265443706868915,299.0976168430436
29.681903398526718,298.77643782945955
29.85725313595188,297.65747101227134
30.238235284554772,297.27980330994905
30.62049851234353,296.91154946963445
31.003995434223082,296.55239116208327
31.388680831579613,296.20202272835155
31.774511538791202,295.8601506569972
32.161446336123184,295.52649307836634
32.54944584865373,295.2007792762879
