X (mm),Y (rad)
103.66531148248788,2.441292330401142
104.88490338228185,2.4173497397770447
105.29143401554651,2.4184390637202573
105.69796464881117,2.410019545427951
106.10449528207583,2.411005257662129
106.91755654860515,2.393375991453255
107.73061781513447,2.3948186105300464
108.95020971492843,2.3365844377028897
108.13714844839912,2.3373173883777407
108.13714844839912,2.3193286267284012
107.73061781513447,2.319992327749503
107.73061781513447,2.3114008180999024
107.3240871818698,2.3121856910074317
107.3240871818698,2.287751177664687
108.13714844839912,2.2538134928675073
109.3567403481931,2.2251878853331815
110.16980161472242,2.220481021855052
110.57633224798707,2.2102588712140205
110.98286288125172,2.2075705817923015
111.38939351451639,2.1969785281233487
112.2024547810457,2.190845502429141
112.60898541431035,2.179626140825824
113.42204668083967,2.1415213248801885
113.42204668083967,2.1065904372203543
